policy_id,vehicle_id,period_month,state_code,region,sales_channel,business_type,vehicle_make,vehicle_model,coverage_type,loss_category,catastrophe_flag,exposure_units,earned_premium,on_level_premium,claim_count,incurred_loss
POL1017569,VEH2017569,2023-01,AZ,West,Direct,Renewal,Summit,Summit Ridge,Comprehensive,Other,No,0.736,49.4,55.27,0,0.0
POL1017988,VEH2017988,2023-01,AZ,West,Direct,New Business,Falcon,Falcon EV,Comprehensive,Other,No,0.747,108.93,123.09,0,0.0
POL1018430,VEH2018430,2023-01,AZ,West,Independent Agent,Renewal,Nova,Nova Spark,Comprehensive,Other,No,0.834,88.64,97.94,0,0.0
POL1018840,VEH2018840,2023-01,AZ,West,Direct,Renewal,Nova,Nova Spark,Comprehensive,Other,No,0.822,62.06,70.7,0,0.0
POL1019242,VEH2019242,2023-01,AZ,West,Direct,Renewal,Summit,Summit Peak,Comprehensive,Other,No,0.918,157.78,180.54,0,0.0
POL1019527,VEH2019527,2023-01,AZ,West,Direct,Renewal,Summit,Summit Peak,Comprehensive,Other,No,0.959,115.18,131.2,0,0.0
POL1020548,VEH2020548,2023-01,AZ,West,Independent Agent,New Business,Metro,Metro Wagon,Comprehensive,Other,No,0.896,56.96,63.98,1,561.41
POL1020653,VEH2020653,2023-01,AZ,West,Independent Agent,Renewal,Apex,Apex City,Comprehensive,Other,No,0.747,73.3,83.01,0,0.0
POL1020706,VEH2020706,2023-01,AZ,West,Independent Agent,Renewal,Falcon,Falcon Trail,Comprehensive,Other,No,0.952,107.13,120.49,0,0.0
POL1021084,VEH2021084,2023-01,AZ,West,Direct,Renewal,Metro,Metro Plus,Comprehensive,Other,No,0.933,90.29,100.89,0,0.0
POL1022433,VEH2022433,2023-01,AZ,West,Direct,New Business,Cascade,Cascade Snow,Comprehensive,Other,No,0.822,113.07,128.53,0,0.0
POL1023356,VEH2023356,2023-01,AZ,West,Independent Agent,New Business,Falcon,Falcon S,Comprehensive,Other,No,0.772,105.68,120.7,0,0.0
POL1024410,VEH2024410,2023-01,AZ,West,Direct,Renewal,Titan,Titan Sport,Comprehensive,Other,No,0.828,99.47,112.67,0,0.0
POL1024567,VEH2024567,2023-01,AZ,West,Direct,Renewal,Apex,Apex City,Comprehensive,Other,No,0.963,113.38,127.25,0,0.0
POL1025113,VEH2025113,2023-01,AZ,West,Direct,Renewal,Apex,Apex City,Comprehensive,Other,No,0.821,87.15,99.26,0,0.0
POL1025929,VEH2025929,2023-01,AZ,West,Independent Agent,Renewal,Nova,Nova Spark,Comprehensive,Other,No,0.89,108.13,123.32,0,0.0
POL1025937,VEH2025937,2023-01,AZ,West,Independent Agent,Renewal,Titan,Titan Work,Comprehensive,Other,No,0.887,90.74,103.29,0,0.0
POL1026174,VEH2026174,2023-01,AZ,West,Direct,New Business,Falcon,Falcon Trail,Comprehensive,Other,No,0.943,114.4,133.6,0,0.0
POL1027820,VEH2027820,2023-01,AZ,West,Direct,Renewal,Orion,Orion Base,Comprehensive,Other,No,0.885,117.9,132.9,0,0.0
POL1027946,VEH2027946,2023-01,AZ,West,Partner,Renewal,Cascade,Cascade Trail,Comprehensive,Other,No,0.704,103.69,115.5,0,0.0
POL1028245,VEH2028245,2023-01,AZ,West,Independent Agent,New Business,Orion,Orion GT,Comprehensive,Other,No,0.884,98.2,110.44,0,0.0
POL1028488,VEH2028488,2023-01,AZ,West,Direct,Renewal,Nova,Nova X,Comprehensive,Other,No,0.772,76.63,86.78,0,0.0
POL1028561,VEH2028561,2023-01,AZ,West,Direct,Renewal,Nova,Nova Spark,Comprehensive,Other,No,0.826,45.17,53.65,0,0.0
POL1028633,VEH2028633,2023-01,AZ,West,Independent Agent,New Business,Orion,Orion GT,Comprehensive,Other,No,0.935,111.93,128.59,0,0.0
POL1029306,VEH2029306,2023-01,AZ,West,Independent Agent,Renewal,Apex,Apex LX,Comprehensive,Other,No,0.832,118.2,130.53,0,0.0
POL1029452,VEH2029452,2023-01,AZ,West,Direct,Renewal,Cascade,Cascade Rain,Comprehensive,Other,No,0.846,87.24,97.11,0,0.0
POL1029466,VEH2029466,2023-01,AZ,West,Direct,New Business,Cascade,Cascade Trail,Comprehensive,Other,No,0.765,58.37,66.8,0,0.0
POL1029599,VEH2029599,2023-01,AZ,West,Partner,New Business,Titan,Titan Sport,Comprehensive,Other,No,0.965,115.78,132.56,0,0.0
POL1029728,VEH2029728,2023-01,AZ,West,Independent Agent,Renewal,Orion,Orion Base,Comprehensive,Other,No,0.701,79.3,89.21,0,0.0
POL1030923,VEH2030923,2023-01,AZ,West,Independent Agent,Renewal,Apex,Apex LX,Comprehensive,Other,No,0.998,145.55,165.58,0,0.0
POL1032575,VEH2032575,2023-01,AZ,West,Direct,New Business,Metro,Metro Wagon,Comprehensive,Other,No,0.707,58.27,65.32,0,0.0
POL1033498,VEH2033498,2023-01,AZ,West,Independent Agent,Renewal,Falcon,Falcon S,Comprehensive,Other,No,0.855,90.59,102.54,0,0.0
POL1034267,VEH2034267,2023-01,AZ,West,Direct,New Business,Nova,Nova Spark,Comprehensive,Other,No,0.819,104.44,119.12,0,0.0
POL1036127,VEH2036127,2023-01,AZ,West,Independent Agent,Renewal,Apex,Apex LX,Comprehensive,Other,No,0.975,130.08,148.17,0,0.0
POL1037102,VEH2037102,2023-01,AZ,West,Direct,Renewal,Falcon,Falcon Prime,Comprehensive,Other,No,0.973,143.4,158.15,0,0.0
POL1037154,VEH2037154,2023-01,AZ,West,Partner,Renewal,Nova,Nova Spark,Comprehensive,Other,No,0.973,113.79,129.85,0,0.0
POL1037391,VEH2037391,2023-01,AZ,West,Independent Agent,Renewal,Falcon,Falcon S,Comprehensive,Other,No,0.985,135.62,150.34,0,0.0
POL1037882,VEH2037882,2023-01,AZ,West,Direct,Renewal,Titan,Titan Max,Comprehensive,Other,No,0.831,115.48,129.8,0,0.0
POL1037936,VEH2037936,2023-01,AZ,West,Direct,Renewal,Nova,Nova Glide,Comprehensive,Other,No,0.936,96.3,109.08,0,0.0
POL1038064,VEH2038064,2023-01,AZ,West,Direct,Renewal,Nova,Nova Glide,Comprehensive,Other,No,0.762,63.97,70.96,0,0.0
POL1038100,VEH2038100,2023-01,AZ,West,Partner,Renewal,Summit,Summit Max,Comprehensive,Other,No,0.862,148.32,169.31,0,0.0
POL1038174,VEH2038174,2023-01,AZ,West,Independent Agent,Renewal,Summit,Summit Peak,Comprehensive,Other,No,0.934,160.5,181.85,0,0.0
POL1038410,VEH2038410,2023-01,AZ,West,Direct,Renewal,Nova,Nova X,Comprehensive,Other,No,0.795,86.2,99.92,0,0.0
POL1038876,VEH2038876,2023-01,AZ,West,Independent Agent,New Business,Metro,Metro One,Comprehensive,Other,No,0.893,135.1,148.38,0,0.0
POL1040214,VEH2040214,2023-01,AZ,West,Direct,New Business,Orion,Orion Touring,Comprehensive,Other,No,0.938,56.54,63.73,0,0.0
POL1040671,VEH2040671,2023-01,AZ,West,Partner,Renewal,Nova,Nova Spark,Comprehensive,Other,No,0.762,96.78,109.86,0,0.0
POL1040839,VEH2040839,2023-01,AZ,West,Direct,New Business,Apex,Apex Cross,Comprehensive,Other,No,0.958,122.13,139.95,0,0.0
POL1041168,VEH2041168,2023-01,AZ,West,Independent Agent,Renewal,Orion,Orion Touring,Comprehensive,Other,No,0.856,67.22,75.59,0,0.0
POL1041290,VEH2041290,2023-01,AZ,West,Direct,Renewal,Apex,Apex City,Comprehensive,Other,No,0.942,114.57,128.11,0,0.0
POL1041408,VEH2041408,2023-01,AZ,West,Direct,Renewal,Nova,Nova Spark,Comprehensive,Other,No,0.835,46.9,52.6,0,0.0
POL1041448,VEH2041448,2023-01,AZ,West,Partner,Renewal,Orion,Orion GT,Comprehensive,Other,No,0.968,143.61,155.58,0,0.0
POL1041805,VEH2041805,2023-01,AZ,West,Direct,Renewal,Apex,Apex LX,Comprehensive,Other,No,0.927,131.37,151.95,0,0.0
POL1041846,VEH2041846,2023-01,AZ,West,Direct,Renewal,Nova,Nova X,Comprehensive,Other,No,0.807,79.33,87.93,0,0.0
POL1042003,VEH2042003,2023-01,AZ,West,Independent Agent,Renewal,Orion,Orion GT,Comprehensive,Other,No,0.902,108.55,121.43,0,0.0
POL1043021,VEH2043021,2023-01,AZ,West,Partner,New Business,Metro,Metro Wagon,Comprehensive,Other,No,0.869,87.79,100.5,1,407.67
POL1045278,VEH2045278,2023-01,AZ,West,Direct,New Business,Titan,Titan Sport,Comprehensive,Other,No,0.733,107.76,121.58,0,0.0
POL1045975,VEH2045975,2023-01,AZ,West,Independent Agent,New Business,Falcon,Falcon Trail,Comprehensive,Other,No,0.912,105.13,121.01,0,0.0
POL1046318,VEH2046318,2023-01,AZ,West,Independent Agent,Renewal,Falcon,Falcon Trail,Comprehensive,Other,No,0.918,132.06,150.92,0,0.0
POL1046825,VEH2046825,2023-01,AZ,West,Partner,Renewal,Titan,Titan Crew,Comprehensive,Other,No,0.995,190.44,218.22,0,0.0
POL1046839,VEH2046839,2023-01,AZ,West,Direct,New Business,Falcon,Falcon Trail,Comprehensive,Other,No,0.709,79.64,89.04,0,0.0
POL1047608,VEH2047608,2023-01,AZ,West,Independent Agent,Renewal,Apex,Apex LX,Comprehensive,Other,No,0.726,90.23,105.16,0,0.0
POL1047620,VEH2047620,2023-01,AZ,West,Partner,Renewal,Falcon,Falcon Trail,Comprehensive,Other,No,0.851,91.18,103.39,0,0.0
POL1048482,VEH2048482,2023-01,AZ,West,Independent Agent,Renewal,Cascade,Cascade Trail,Comprehensive,Glass,No,0.846,120.08,131.42,1,65.09
POL1048967,VEH2048967,2023-01,AZ,West,Independent Agent,Renewal,Orion,Orion Base,Comprehensive,Other,No,0.94,96.72,109.65,0,0.0
POL1049130,VEH2049130,2023-01,AZ,West,Direct,Renewal,Orion,Orion Touring,Comprehensive,Other,No,0.949,73.27,81.42,0,0.0
POL1049247,VEH2049247,2023-01,AZ,West,Direct,New Business,Cascade,Cascade Rain,Comprehensive,Other,No,0.759,67.85,75.23,0,0.0
POL1049726,VEH2049726,2023-01,AZ,West,Direct,Renewal,Summit,Summit Peak,Comprehensive,Other,No,0.721,101.46,113.63,0,0.0
POL1049888,VEH2049888,2023-01,AZ,West,Direct,Renewal,Titan,Titan Work,Comprehensive,Other,No,0.932,107.38,118.53,0,0.0
POL1050542,VEH2050542,2023-01,AZ,West,Direct,Renewal,Metro,Metro Plus,Comprehensive,Other,No,0.912,101.26,112.93,0,0.0
POL1050562,VEH2050562,2023-01,AZ,West,Independent Agent,New Business,Cascade,Cascade Snow,Comprehensive,Other,No,0.926,136.01,153.56,0,0.0
POL1051237,VEH2051237,2023-01,AZ,West,Partner,Renewal,Apex,Apex City,Comprehensive,Other,No,0.985,118.78,130.86,0,0.0
POL1052169,VEH2052169,2023-01,AZ,West,Direct,Renewal,Nova,Nova Glide,Comprehensive,Other,No,0.74,54.71,61.48,0,0.0
POL1052698,VEH2052698,2023-01,AZ,West,Independent Agent,Renewal,Metro,Metro Wagon,Comprehensive,Other,No,0.789,92.06,101.57,0,0.0
POL1052825,VEH2052825,2023-01,AZ,West,Independent Agent,New Business,Titan,Titan Work,Comprehensive,Other,No,0.8,78.52,87.61,0,0.0
POL1052872,VEH2052872,2023-01,AZ,West,Independent Agent,Renewal,Orion,Orion GT,Comprehensive,Other,No,0.92,95.83,107.54,0,0.0
POL1053360,VEH2053360,2023-01,AZ,West,Partner,Renewal,Falcon,Falcon S,Comprehensive,Other,No,0.904,110.15,121.35,0,0.0
POL1053580,VEH2053580,2023-01,AZ,West,Independent Agent,New Business,Cascade,Cascade Snow,Comprehensive,Other,No,0.831,101.45,118.52,0,0.0
POL1053828,VEH2053828,2023-01,AZ,West,Partner,Renewal,Titan,Titan Sport,Comprehensive,Other,No,0.753,81.75,92.72,0,0.0
POL1054292,VEH2054292,2023-01,AZ,West,Independent Agent,New Business,Summit,Summit Ridge,Comprehensive,Other,No,0.963,91.86,103.84,0,0.0
POL1054908,VEH2054908,2023-01,AZ,West,Independent Agent,Renewal,Titan,Titan Work,Comprehensive,Other,No,0.977,120.78,135.7,0,0.0
POL1055081,VEH2055081,2023-01,AZ,West,Independent Agent,New Business,Summit,Summit Max,Comprehensive,Other,No,0.853,112.22,125.58,0,0.0
POL1055491,VEH2055491,2023-01,AZ,West,Direct,Renewal,Titan,Titan Crew,Comprehensive,Other,No,0.749,66.69,74.43,0,0.0
POL1055642,VEH2055642,2023-01,AZ,West,Independent Agent,Renewal,Summit,Summit Peak,Comprehensive,Other,No,0.987,175.74,198.33,0,0.0
POL1055825,VEH2055825,2023-01,AZ,West,Independent Agent,Renewal,Metro,Metro Wagon,Comprehensive,Other,No,0.787,91.37,99.47,0,0.0
POL1056176,VEH2056176,2023-01,AZ,West,Independent Agent,Renewal,Falcon,Falcon Prime,Comprehensive,Other,No,0.758,82.27,93.73,0,0.0
POL1056280,VEH2056280,2023-01,AZ,West,Independent Agent,New Business,Orion,Orion GT,Comprehensive,Other,No,0.752,80.43,91.52,0,0.0
POL1056600,VEH2056600,2023-01,AZ,West,Partner,New Business,Summit,Summit Peak,Comprehensive,Other,No,0.869,171.4,193.91,0,0.0
POL1056778,VEH2056778,2023-01,AZ,West,Direct,Renewal,Summit,Summit Ridge,Comprehensive,Other,No,0.804,81.37,90.59,0,0.0
POL1057838,VEH2057838,2023-01,AZ,West,Independent Agent,Renewal,Orion,Orion GT,Comprehensive,Other,No,0.886,95.39,106.65,0,0.0
POL1058078,VEH2058078,2023-01,AZ,West,Direct,New Business,Cascade,Cascade Rain,Comprehensive,Other,No,0.728,61.81,68.59,0,0.0
POL1058171,VEH2058171,2023-01,AZ,West,Independent Agent,Renewal,Summit,Summit Peak,Comprehensive,Other,No,0.831,141.37,161.24,0,0.0
POL1059201,VEH2059201,2023-01,AZ,West,Independent Agent,Renewal,Titan,Titan Crew,Comprehensive,Other,No,0.981,136.21,153.61,0,0.0
POL1059454,VEH2059454,2023-01,AZ,West,Direct,Renewal,Metro,Metro One,Comprehensive,Other,No,0.999,96.59,107.5,0,0.0
POL1059578,VEH2059578,2023-01,AZ,West,Direct,Renewal,Orion,Orion Touring,Comprehensive,Other,No,0.73,82.44,94.48,0,0.0
POL1059602,VEH2059602,2023-01,AZ,West,Direct,New Business,Falcon,Falcon S,Comprehensive,Other,No,0.925,132.23,148.06,0,0.0
POL1000149,VEH2000149,2023-01,CA,West,Direct,Renewal,Cascade,Cascade Rain,Comprehensive,Other,No,0.951,120.02,135.89,0,0.0
POL1000160,VEH2000160,2023-01,CA,West,Partner,Renewal,Cascade,Cascade Rain,Comprehensive,Other,No,0.714,99.71,111.99,0,0.0
POL1000174,VEH2000174,2023-01,CA,West,Direct,Renewal,Apex,Apex City,Comprehensive,Other,No,0.794,82.59,94.0,0,0.0
POL1000194,VEH2000194,2023-01,CA,West,Direct,Renewal,Metro,Metro Wagon,Comprehensive,Other,No,0.963,149.94,168.67,0,0.0
POL1000293,VEH2000293,2023-01,CA,West,Independent Agent,Renewal,Titan,Titan Work,Comprehensive,Other,No,0.8,95.29,109.16,0,0.0
POL1000428,VEH2000428,2023-01,CA,West,Independent Agent,Renewal,Apex,Apex Cross,Comprehensive,Other,No,0.9,111.81,124.03,0,0.0
POL1000848,VEH2000848,2023-01,CA,West,Direct,Renewal,Metro,Metro One,Comprehensive,Other,No,0.806,114.1,127.97,0,0.0
POL1001138,VEH2001138,2023-01,CA,West,Independent Agent,Renewal,Falcon,Falcon Trail,Comprehensive,Other,No,0.832,150.29,166.31,0,0.0
POL1001188,VEH2001188,2023-01,CA,West,Independent Agent,Renewal,Cascade,Cascade Rain,Comprehensive,Other,No,0.952,152.71,174.05,0,0.0
POL1001297,VEH2001297,2023-01,CA,West,Partner,Renewal,Titan,Titan Crew,Comprehensive,Other,No,0.929,204.38,226.88,0,0.0
POL1001359,VEH2001359,2023-01,CA,West,Partner,Renewal,Metro,Metro Wagon,Comprehensive,Other,No,0.802,102.32,116.17,0,0.0
POL1001363,VEH2001363,2023-01,CA,West,Direct,Renewal,Titan,Titan Sport,Comprehensive,Other,No,0.972,154.29,177.16,0,0.0
POL1001720,VEH2001720,2023-01,CA,West,Direct,Renewal,Metro,Metro Wagon,Comprehensive,Glass,No,0.893,105.7,119.87,1,60.77
POL1002051,VEH2002051,2023-01,CA,West,Direct,Renewal,Cascade,Cascade Snow,Comprehensive,Other,No,0.829,88.1,100.32,0,0.0
POL1002713,VEH2002713,2023-01,CA,West,Direct,Renewal,Titan,Titan Sport,Comprehensive,Other,No,0.915,118.88,134.27,0,0.0
POL1002781,VEH2002781,2023-01,CA,West,Independent Agent,Renewal,Metro,Metro One,Comprehensive,Other,No,0.796,121.41,136.91,0,0.0
POL1002957,VEH2002957,2023-01,CA,West,Independent Agent,Renewal,Summit,Summit Ridge,Comprehensive,Other,No,0.744,128.8,146.47,0,0.0
POL1003453,VEH2003453,2023-01,CA,West,Direct,New Business,Orion,Orion GT,Comprehensive,Other,No,0.709,113.78,128.71,0,0.0
POL1003643,VEH2003643,2023-01,CA,West,Direct,New Business,Metro,Metro One,Comprehensive,Other,No,0.856,99.97,112.89,0,0.0
POL1003900,VEH2003900,2023-01,CA,West,Partner,New Business,Orion,Orion Touring,Comprehensive,Other,No,0.901,119.76,139.04,0,0.0
POL1003940,VEH2003940,2023-01,CA,West,Independent Agent,Renewal,Summit,Summit Ridge,Comprehensive,Other,No,0.9,147.0,168.89,0,0.0
POL1004135,VEH2004135,2023-01,CA,West,Partner,Renewal,Titan,Titan Sport,Comprehensive,Other,No,0.876,106.08,118.37,0,0.0
POL1004190,VEH2004190,2023-01,CA,West,Independent Agent,Renewal,Apex,Apex Cross,Comprehensive,Other,No,0.922,170.95,193.97,0,0.0
POL1004213,VEH2004213,2023-01,CA,West,Independent Agent,New Business,Falcon,Falcon Prime,Comprehensive,Other,No,0.899,135.48,150.93,0,0.0
POL1004368,VEH2004368,2023-01,CA,West,Partner,Renewal,Titan,Titan Max,Comprehensive,Other,No,0.732,128.76,149.05,0,0.0
POL1004440,VEH2004440,2023-01,CA,West,Direct,Renewal,Nova,Nova Spark,Comprehensive,Other,No,0.789,83.56,92.6,0,0.0
POL1004579,VEH2004579,2023-01,CA,West,Independent Agent,Renewal,Summit,Summit Ridge,Comprehensive,Other,No,0.897,117.99,133.24,0,0.0
POL1005184,VEH2005184,2023-01,CA,West,Independent Agent,New Business,Orion,Orion Touring,Comprehensive,Other,No,0.825,153.19,174.3,0,0.0
POL1005718,VEH2005718,2023-01,CA,West,Direct,Renewal,Orion,Orion Touring,Comprehensive,Other,No,0.801,94.91,106.08,0,0.0
POL1005779,VEH2005779,2023-01,CA,West,Independent Agent,New Business,Metro,Metro Plus,Comprehensive,Other,No,0.801,77.4,84.45,0,0.0
POL1005978,VEH2005978,2023-01,CA,West,Independent Agent,New Business,Falcon,Falcon S,Comprehensive,Other,No,0.977,183.5,211.66,0,0.0
POL1006091,VEH2006091,2023-01,CA,West,Independent Agent,New Business,Apex,Apex City,Comprehensive,Fire,No,0.894,165.43,186.06,1,796.82
POL1006127,VEH2006127,2023-01,CA,West,Direct,Renewal,Orion,Orion GT,Comprehensive,Other,No,0.972,146.73,166.24,0,0.0
POL1006191,VEH2006191,2023-01,CA,West,Partner,Renewal,Cascade,Cascade Rain,Comprehensive,Other,No,0.973,125.86,140.71,0,0.0
POL1006429,VEH2006429,2023-01,CA,West,Partner,New Business,Titan,Titan Sport,Comprehensive,Weather,No,0.738,127.4,140.98,1,953.76
POL1006527,VEH2006527,2023-01,CA,West,Direct,New Business,Falcon,Falcon Prime,Comprehensive,Other,No,0.8,151.5,167.49,0,0.0
POL1006645,VEH2006645,2023-01,CA,West,Independent Agent,Renewal,Titan,Titan Sport,Comprehensive,Other,No,0.896,183.05,210.94,0,0.0
POL1007139,VEH2007139,2023-01,CA,West,Direct,Renewal,Metro,Metro One,Comprehensive,Other,No,0.719,95.27,105.75,0,0.0
POL1007349,VEH2007349,2023-01,CA,West,Direct,New Business,Nova,Nova Glide,Comprehensive,Other,No,0.997,141.0,158.89,0,0.0
POL1007635,VEH2007635,2023-01,CA,West,Independent Agent,Renewal,Falcon,Falcon S,Comprehensive,Other,No,0.767,108.51,123.42,0,0.0
POL1007640,VEH2007640,2023-01,CA,West,Independent Agent,Renewal,Nova,Nova Glide,Comprehensive,Other,No,0.927,115.98,129.19,0,0.0
POL1007969,VEH2007969,2023-01,CA,West,Independent Agent,Renewal,Apex,Apex City,Comprehensive,Other,No,0.852,89.13,97.84,0,0.0
POL1008087,VEH2008087,2023-01,CA,West,Direct,New Business,Metro,Metro Wagon,Comprehensive,Other,No,0.754,90.5,103.6,0,0.0
POL1008101,VEH2008101,2023-01,CA,West,Independent Agent,New Business,Metro,Metro One,Comprehensive,Other,No,0.974,83.66,94.79,0,0.0
POL1008249,VEH2008249,2023-01,CA,West,Independent Agent,Renewal,Nova,Nova Glide,Comprehensive,Other,No,0.726,78.87,89.78,0,0.0
POL1008769,VEH2008769,2023-01,CA,West,Direct,Renewal,Orion,Orion Touring,Comprehensive,Other,No,0.811,132.74,148.61,0,0.0
POL1009006,VEH2009006,2023-01,CA,West,Partner,Renewal,Metro,Metro Plus,Comprehensive,Other,No,0.861,114.83,128.39,0,0.0
POL1009139,VEH2009139,2023-01,CA,West,Direct,Renewal,Apex,Apex Cross,Comprehensive,Other,No,0.943,56.64,64.82,0,0.0
POL1009181,VEH2009181,2023-01,CA,West,Independent Agent,Renewal,Apex,Apex City,Comprehensive,Other,No,0.922,174.88,195.77,0,0.0
POL1009195,VEH2009195,2023-01,CA,West,Direct,Renewal,Titan,Titan Sport,Comprehensive,Other,No,0.999,100.54,120.52,0,0.0
POL1009420,VEH2009420,2023-01,CA,West,Independent Agent,Renewal,Falcon,Falcon S,Comprehensive,Other,No,0.874,75.67,85.92,0,0.0
POL1009421,VEH2009421,2023-01,CA,West,Independent Agent,New Business,Apex,Apex City,Comprehensive,Other,No,0.877,135.93,153.18,0,0.0
POL1009617,VEH2009617,2023-01,CA,West,Independent Agent,Renewal,Metro,Metro Wagon,Comprehensive,Other,No,0.844,110.66,127.79,0,0.0
POL1010411,VEH2010411,2023-01,CA,West,Independent Agent,Renewal,Summit,Summit Max,Comprehensive,Other,No,0.885,98.01,112.03,0,0.0
POL1010678,VEH2010678,2023-01,CA,West,Independent Agent,Renewal,Titan,Titan Crew,Comprehensive,Theft,No,0.761,139.35,158.01,1,1616.79
POL1010753,VEH2010753,2023-01,CA,West,Direct,Renewal,Metro,Metro Wagon,Comprehensive,Other,No,0.925,137.36,157.0,0,0.0
POL1011151,VEH2011151,2023-01,CA,West,Independent Agent,New Business,Titan,Titan Work,Comprehensive,Other,No,0.84,142.82,159.98,0,0.0
